name,artists,release_year,popularity,cluster,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_name
Santa Baby,['Madonna'],1987,30,0,0.618,0.32,-12.977,0.0476,0.586,0.0,0.364,0.602,113.825,Acoustic & Mellow
In This Life,['Madonna'],1992,29,0,0.493,0.449,-10.437,0.0277,0.00557,0.000268,0.183,0.0856,146.282,Acoustic & Mellow
Something to Remember,['Madonna'],1990,28,0,0.545,0.382,-8.851,0.0241,0.753,6.81e-05,0.105,0.113,137.988,Acoustic & Mellow
He's a Man,['Madonna'],1990,28,0,0.638,0.639,-9.675,0.0313,0.543,0.0,0.0989,0.409,111.03,Acoustic & Mellow
Back in Business,['Madonna'],1990,27,1,0.559,0.622,-9.947,0.0936,0.521,7.13e-05,0.0888,0.424,174.651,Uplifting & Danceable
I'm Going Bananas,['Madonna'],1990,27,1,0.666,0.659,-8.556,0.105,0.325,8.22e-06,0.084,0.921,103.838,Uplifting & Danceable
Now I'm Following You (Part I),['Madonna'],1990,27,0,0.609,0.351,-12.451,0.0295,0.725,0.0,0.575,0.691,75.934,Acoustic & Mellow
More,['Madonna'],1990,27,0,0.632,0.356,-10.683,0.0955,0.569,0.0,0.068,0.554,104.625,Acoustic & Mellow
Cry Baby,['Madonna'],1990,26,1,0.836,0.144,-13.715,0.0536,0.804,5.49e-05,0.0666,0.571,138.128,Uplifting & Danceable
What Can You Lose,['Madonna'],1990,26,0,0.427,0.127,-18.956,0.0352,0.967,0.000282,0.129,0.255,102.785,Acoustic & Mellow
Now I'm Following You (Pt. 2),['Madonna'],1990,25,3,0.686,0.817,-8.906,0.0679,0.058,0.0241,0.157,0.782,98.978,Bold & Energetic
Over and Over - Extended Version,['Madonna'],1987,25,1,0.769,0.817,-10.768,0.0533,0.366,0.372,0.08,0.944,149.178,Uplifting & Danceable
Justify My Love - The Beast Within Mix,"['Madonna', 'Lenny Kravitz']",1990,23,2,0.694,0.85,-11.339,0.0787,0.377,0.615,0.247,0.535,96.123,Instrumental & Produced
Vogue - Bette Davis Dub,['Madonna'],1990,23,2,0.667,0.706,-14.302,0.0395,0.00364,0.75,0.0647,0.126,116.15,Instrumental & Produced
Vogue - Strike-A-Pose Dub,['Madonna'],1990,22,2,0.721,0.549,-17.095,0.0663,0.00134,0.834,0.317,0.191,116.118,Instrumental & Produced
Express Yourself - Shep's 'Spressin Himself Re-Remix,"['Madonna', 'Shep Pettibone']",1990,20,1,0.76,0.714,-11.93,0.0479,0.0101,0.00114,0.0697,0.59,115.854,Uplifting & Danceable
Justify My Love - Orbit Edit,"['Madonna', 'William Orbit']",1990,20,2,0.787,0.619,-13.473,0.0649,0.00188,0.77,0.0991,0.474,99.613,Instrumental & Produced
Justify My Love - Hip Hop Mix,"['Madonna', 'Andre Betts']",1990,19,2,0.855,0.519,-13.12,0.215,0.0244,0.855,0.0756,0.496,95.927,Instrumental & Produced
Hanky Panky - Bare Bones Single Mix,"['Madonna', 'Kevin Gilbert']",1990,19,1,0.638,0.844,-7.975,0.0652,0.21,0.0,0.0721,0.819,170.281,Uplifting & Danceable
"Hanky Panky - Bare Bottom 12"" Mix","['Madonna', 'Kevin Gilbert']",1990,17,1,0.672,0.837,-8.43,0.0677,0.0487,0.0,0.0545,0.929,170.152,Uplifting & Danceable
